"Genes","E.MTAB.386_eset","GSE12418_eset","GSE17260_eset","GSE18520_eset","GSE26712_eset","GSE32062.GPL6480_eset","GSE9891_eset","PMID17290060_eset","TCGA_eset","Pooled.LogIt.Coefficient","Mean.Optimal","Mean.Suboptimal","P","FDR"
"RGCC","ILMN_1658494","17355","A_24_P10137","218723_s_at","218723_s_at","A_24_P10137","218723_s_at","218723_s_at","218723_s_at",0.224091099393034,-0.136227710762174,0.0478087681108416,0.00306956020809545,0.144357031500717
"CALD1","ILMN_1717990","29552","A_24_P921366","212077_at","212077_at","A_24_P921366","212077_at","212077_at","212077_at",0.21675512946914,-0.138702699226101,0.0458304135587563,0.003150178693274,0.146398043801005
"OSBP2","ILMN_1781966","13706","A_23_P57474","223432_at","221237_s_at","A_23_P321935","223432_at","221237_s_at","221237_s_at",-0.218876099182597,0.112622423294542,-0.078597244946998,0.00319256081317979,0.146398043801005
"SERPINE1","ILMN_1744381","19250","A_24_P158089","202627_s_at","202627_s_at","A_24_P158089","202627_s_at","202627_s_at","202627_s_at",0.237332808487837,-0.129914460560848,0.0737515779080437,0.00322066775658655,0.146398043801005
"LHB","ILMN_1765187","23465","A_23_P218505","214471_x_at","214471_x_at","A_23_P218505","214471_x_at","214471_x_at","214471_x_at",-0.220209739119318,0.106123233343989,-0.0905939047238326,0.00323654376509625,0.146398043801005
"PVRL2","ILMN_1718303","21600","A_23_P352870","225418_at","203149_at","A_23_P208293","225418_at","203149_at","203149_at",0.218247512268096,-0.128325947948206,0.061670327861035,0.0032572757142723,0.146398043801005
"YAP1","ILMN_1672821","1840","A_23_P104762","224894_at","213342_at","A_23_P104762","224894_at","213342_at","213342_at",0.216816980003988,-0.111644569037252,0.0558567892755053,0.00328173432791127,0.146398043801005
"EPB41","ILMN_1667408","21165","A_24_P558070","225051_at","214530_x_at","A_23_P160359","225051_at","214530_x_at","214530_x_at",-0.210699273260185,0.115443671531967,-0.0658341194775613,0.00328236880081949,0.146398043801005
"TP73","ILMN_1778188","14655","A_24_P413470","1554379_a_at","220804_s_at","A_24_P413470","1554379_a_at","220804_s_at","220804_s_at",-0.212780919868428,0.105187900581212,-0.0833564997626061,0.00329333089166324,0.146398043801005
"CHST2","ILMN_1794011","25586","A_23_P40847","203921_at","203921_at","A_23_P40847","203921_at","203921_at","203921_at",-0.213518850728094,0.145174177605651,-0.0460835539117731,0.00336002618111584,0.146398043801005
"HMGCS2","ILMN_1815203","19269","A_23_P103588","204607_at","204607_at","A_23_P103588","204607_at","204607_at","204607_at",-0.213049657441699,0.102483424816193,-0.0862836627517395,0.00336329425140868,0.146398043801005
"CYP2B6","ILMN_1657529","9982","A_24_P339514","206754_s_at","206754_s_at","A_24_P339514","206754_s_at","206754_s_at","206754_s_at",-0.209435139412508,0.0926821690035995,-0.0838232305872221,0.00339563260993464,0.146398043801005
"OR1D2","ILMN_1757546","17792","A_23_P27239","221464_at","221464_at","A_23_P27239","221464_at","221464_at","221464_at",-0.219460620326597,0.106668285556125,-0.0805102553038577,0.0034032534481527,0.146398043801005
"NCOA4","ILMN_1773906","29757","A_23_P86421","210774_s_at","210774_s_at","A_23_P86424","210774_s_at","210774_s_at","210774_s_at",0.210930265917436,-0.10531043769398,0.0876211414186702,0.00340455292862698,0.146398043801005
"ADARB1","ILMN_1679797","28621","A_24_P936556","203865_s_at","203865_s_at","A_23_P211207","203865_s_at","203865_s_at","203865_s_at",0.217333865335392,-0.110143837529193,0.0575615295123492,0.00343401493077814,0.146398043801005
"SUMO3","ILMN_1725642","24870","A_23_P102937","200740_s_at","200740_s_at","A_23_P102937","200740_s_at","200740_s_at","200740_s_at",0.217001882107377,-0.101218151524893,0.0800669981735543,0.00350330875363961,0.146398043801005
"FN1","ILMN_1778237","22946","A_24_P119745","210495_x_at","211719_x_at","A_24_P119745","210495_x_at","211719_x_at","211719_x_at",0.215295662431613,-0.133251093824229,0.0569246697640137,0.00351521439790883,0.146398043801005
"GATA4","ILMN_1749866","17155","A_23_P384761","1553131_a_at","205517_at","A_23_P384761","1553131_a_at","205517_at","205517_at",-0.213106006810262,0.102129021600285,-0.0798438002819323,0.00351686427608877,0.146398043801005
"ATAD2","ILMN_1763064","14072","A_24_P59596","222740_at","218782_s_at","A_23_P216068","222740_at","218782_s_at","218782_s_at",0.217627872496327,-0.121076808655854,0.0628799273823911,0.00352222268301108,0.146398043801005
"TRAPPC10","ILMN_1778464","22879","A_23_P317683","209412_at","208184_s_at","A_23_P317683","209412_at","208184_s_at","208184_s_at",0.22332363251065,-0.0657340787714684,0.0884714464736086,0.00353543271026122,0.146398043801005
"ACTR1A","ILMN_1792314","966","A_24_P261326","200721_s_at","200720_s_at","A_24_P261326","200721_s_at","200720_s_at","200720_s_at",0.214579816423543,-0.103673398034829,0.091123186599135,0.00357639375359867,0.146777378669529
"PIGL","ILMN_1760332","4948","A_23_P38618","213889_at","213889_at","A_24_P253755","213889_at","213889_at","213889_at",-0.214088545778285,0.10279097836114,-0.0741800088173216,0.00360012266986117,0.146777378669529
"SNX19","ILMN_1658456","12360","A_23_P98345","202358_s_at","202358_s_at","A_23_P98345","202358_s_at","202358_s_at","202358_s_at",0.226235280364971,-0.113253001421127,0.0543515884472061,0.0036322655369951,0.146777378669529
"PTS","ILMN_1720322","10601","A_23_P127579","209694_at","209694_at","A_23_P127579","209694_at","209694_at","209694_at",0.217673383097789,-0.114936985033979,0.0750915371230718,0.00363376560193395,0.146777378669529
"GPNMB","ILMN_1801205","4201","A_24_P933908","201141_at","201141_at","A_23_P134426","201141_at","201141_at","201141_at",0.216216429876047,-0.12986715195911,0.0644296078580216,0.00368911789913025,0.148104586877278
