"Genes","E.MTAB.386_eset","GSE12418_eset","GSE17260_eset","GSE18520_eset","GSE26712_eset","GSE32062.GPL6480_eset","GSE9891_eset","PMID17290060_eset","TCGA_eset","Pooled.LogIt.Coefficient","Mean.Optimal","Mean.Suboptimal","P","FDR"
"VCL","ILMN_1795429","22979","A_23_P202280","200931_s_at","200931_s_at","A_24_P47182","200931_s_at","200931_s_at","200931_s_at",0.281811232836603,-0.149410997736019,0.0661569727502793,0.000185305101641539,0.0406682929735964
"TM9SF3","ILMN_1669931","5583","A_24_P309360","217758_s_at","217758_s_at","A_24_P309360","217758_s_at","217758_s_at","217758_s_at",0.277469214015921,-0.139597652195421,0.104999543401819,0.000209951646981687,0.044591020765401
"CHGA","ILMN_1669410","17975","A_32_P27046","204697_s_at","204697_s_at","A_32_P27046","204697_s_at","204697_s_at","204697_s_at",-0.268035387504934,0.149998967578507,-0.0889407607464153,0.000236542089473845,0.0486685349092437
"SEZ6L2","ILMN_1704746","29327","A_24_P116587","233337_s_at","218720_x_at","A_23_P10194","233337_s_at","218720_x_at","218720_x_at",-0.27187219119872,0.119038374783975,-0.107045681337348,0.000267754657207366,0.0532627938985543
"NEK11","ILMN_1788149","15456","A_23_P211973","219542_at","219542_at","A_23_P155301","219542_at","219542_at","219542_at",-0.274025831236319,0.145013409189765,-0.0786458806241587,0.000286052145758344,0.0532627938985543
"ATP2B1","ILMN_1750599","13682","A_23_P128319","215716_s_at","209281_s_at","A_23_P128319","215716_s_at","209281_s_at","209281_s_at",0.269230570037161,-0.132015444454087,0.101963569701569,0.000289194785548871,0.0532627938985543
"MYOF","ILMN_1810289","13447","A_24_P282309","201798_s_at","201798_s_at","A_23_P86682","201798_s_at","201798_s_at","201798_s_at",0.264476330387488,-0.13809226383559,0.0727890985822108,0.000316715281302714,0.0532627938985543
"CACNA1F","ILMN_1659138","22831","A_23_P148327","208377_s_at","208377_s_at","A_23_P148327","208377_s_at","208377_s_at","208377_s_at",-0.2659030112029,0.142158693432043,-0.0823687462348482,0.000323492188066829,0.0532627938985543
"TNFAIP6","ILMN_1785732","16785","A_23_P165624","206025_s_at","206026_s_at","A_23_P165624","206025_s_at","206026_s_at","206026_s_at",0.275396720809356,-0.135584805632569,0.0935446735810309,0.000335109816217787,0.0532627938985543
"FSD1","ILMN_1694755","9281","A_23_P153651","219170_at","219170_at","A_23_P153651","219170_at","219170_at","219170_at",-0.260455746867658,0.134607880045093,-0.0949484261909268,0.000337855009665602,0.0532627938985543
"KIAA1199","ILMN_1813704","28006","A_32_P161855","212942_s_at","212942_s_at","A_32_P161855","212942_s_at","212942_s_at","212942_s_at",0.263071859667515,-0.134637535897366,0.0878011175044201,0.000338061618127278,0.0532627938985543
"RANBP10","ILMN_1667306","29331","A_23_P369733","53987_at","221809_at","A_23_P369733","53987_at","221809_at","221809_at",-0.270981672394948,0.143486618013677,-0.0891945132082616,0.000338609878478083,0.0532627938985543
"UCN","ILMN_1707258","20999","A_24_P62883","206072_at","206072_at","A_24_P62883","206072_at","206072_at","206072_at",-0.258441113154555,0.153671551074884,-0.0681591759677784,0.000339768733860766,0.0532627938985543
"NUAK1","ILMN_1689318","22816","A_23_P348257","204589_at","204589_at","A_23_P348257","204589_at","204589_at","204589_at",0.271586190336044,-0.133607817382875,0.0929106254265982,0.000355426999365691,0.0544216596238073
"SRPX","ILMN_1709486","25556","A_23_P96383","204955_at","204955_at","A_23_P96383","204955_at","204955_at","204955_at",0.270178197937048,-0.150615014467272,0.0867948642013898,0.000383606787361039,0.0564278544160965
"COL7A1","ILMN_1751161","18111","A_23_P144071","204136_at","217312_s_at","A_23_P144071","204136_at","217312_s_at","217312_s_at",-0.255490363475987,0.104014435875799,-0.113293983281361,0.000385670329393126,0.0564278544160965
"CHST10","ILMN_1736828","17848","A_23_P102351","204065_at","204065_at","A_23_P102351","204065_at","204065_at","204065_at",-0.261418701877454,0.142310063367305,-0.0744478023831945,0.000423680812581884,0.0596698319153442
"ITGB5","ILMN_1796755","9713","A_23_P166633","201125_s_at","201125_s_at","A_23_P166633","201125_s_at","201125_s_at","201125_s_at",0.263125094606032,-0.152650977233018,0.0803190143422985,0.000425954146418769,0.0596698319153442
"C3AR1","ILMN_1787529","2803","A_23_P2431","209906_at","209906_at","A_23_P2431","209906_at","209906_at","209906_at",0.260334922866826,-0.138791750187759,0.0817997130021102,0.000443485391407713,0.0608314128547579
"TRIM58","ILMN_1705458","20505","A_23_P314052","215047_at","215047_at","A_23_P314052","215047_at","215047_at","215047_at",-0.261146559345952,0.133542879227035,-0.0915911650430338,0.000467356675271645,0.0627974765303777
"ACSL3","ILMN_1666096","2173","A_24_P37319","201662_s_at","201662_s_at","A_24_P248606","201662_s_at","201662_s_at","201662_s_at",0.255293225857005,-0.113391828494138,0.106020911875024,0.000486236089829135,0.0640275683087005
"CCL13","ILMN_1783593","4348","A_23_P26965","206407_s_at","206407_s_at","A_23_P26965","206407_s_at","206407_s_at","206407_s_at",-0.270386858645262,0.1489471328914,-0.0626615307996407,0.00051756886002389,0.0664043232208955
"HAP1","ILMN_1654241","10453","A_23_P22129","211604_x_at","211222_s_at","A_23_P22129","211604_x_at","211222_s_at","211222_s_at",-0.25875138779043,0.116694131058554,-0.0975828490641018,0.00052445698777135,0.0664043232208955
"PARD6A","ILMN_1654112","14105","A_23_P140821","205245_at","205245_at","A_23_P140821","205245_at","205245_at","205245_at",-0.253834668850149,0.115421864379584,-0.0758904386182345,0.000582446837735658,0.0706644316314775
"HSF4","ILMN_1704101","29230","A_23_P3592","210977_s_at","210977_s_at","A_23_P3592","210977_s_at","210977_s_at","210977_s_at",-0.251635636096202,0.127707537061595,-0.0969359269352102,0.000584086922617585,0.0706644316314775
"WSB2","ILMN_1746664","19748","A_23_P259272","201760_s_at","201760_s_at","A_23_P259272","201760_s_at","201760_s_at","201760_s_at",0.255322608913771,-0.118883906633201,0.0966589453722302,0.000591728204744268,0.0706644316314775
"CYR61","ILMN_1658095","5590","A_23_P46426","201289_at","201289_at","A_23_P46429","201289_at","201289_at","201289_at",0.258736933887718,-0.143032226470961,0.0787502551942679,0.000611495412923343,0.0706644316314775
"TJAP1","ILMN_1743763","18709","A_23_P81811","47608_at","47608_at","A_23_P81811","47608_at","47608_at","47608_at",-0.259336253657888,0.126581264433542,-0.108337013714828,0.000611766798753678,0.0706644316314775
"TGFBI","ILMN_1663866","29727","A_23_P156327","201506_at","201506_at","A_23_P156327","201506_at","201506_at","201506_at",0.25261223941981,-0.137587035375944,0.0736409467091478,0.000641071269717572,0.0727726420658706
"COL3A1","ILMN_1773079","17863","A_23_P142533","215076_s_at","215076_s_at","A_23_P142533","215076_s_at","215076_s_at","215076_s_at",0.250850625068296,-0.152754281127405,0.0652356162208455,0.000683089164132829,0.0752994091521563
"CPM","ILMN_1709440","23336","A_23_P162668","235706_at","206100_at","A_23_P162668","235706_at","206100_at","206100_at",0.259676495698108,-0.15168574845021,0.0646757000383975,0.000686203607097415,0.0752994091521563
"MTSS1","ILMN_1676980","9860","A_23_P347632","203037_s_at","203037_s_at","A_23_P347632","203037_s_at","203037_s_at","203037_s_at",0.254031614798435,-0.129444633910206,0.0990093700521522,0.000702544825243514,0.0754048825606219
"PDPR","ILMN_1736856","25298","A_24_P350649","224902_at","220236_at","A_24_P350649","224902_at","220236_at","220236_at",-0.253802619953106,0.123660554781935,-0.0944315451787072,0.000710070279276817,0.0754048825606219
"NNMT","ILMN_1715508","2355","A_23_P127584","202237_at","202237_at","A_23_P127584","202237_at","202237_at","202237_at",0.244052940680683,-0.146325828866873,0.0525066433681292,0.000721913978232049,0.0754457402012669
"ALDH1A3","ILMN_1807439","483","A_24_P917280","203180_at","203180_at","A_23_P205959","203180_at","203180_at","203180_at",0.258376634294472,-0.127940310640465,0.0917165442353699,0.000763245578800333,0.0785188889190842
"VCAN","ILMN_1687301","19245","A_23_P144959","221731_x_at","221731_x_at","A_23_P144959","221731_x_at","221731_x_at","221731_x_at",0.250833083447866,-0.145831324901409,0.0662974163908517,0.000808659618453756,0.0809484557403844
"ZNF706","ILMN_1702384","12442","A_23_P252704","218059_at","218059_at","A_23_P252704","218059_at","218059_at","218059_at",0.248884007877455,-0.13740780715346,0.0623737898514692,0.000811451713071897,0.0809484557403844
"EPAS1","ILMN_1760034","18860","A_23_P430120","200878_at","200878_at","A_23_P210210","200878_at","200878_at","200878_at",0.247850423338579,-0.14588244674497,0.0604719808759313,0.000857588879185716,0.0842741071725187
"VSIG4","ILMN_1669409","1836","A_23_P217269","204787_at","204787_at","A_23_P217269","204787_at","204787_at","204787_at",0.246986230958508,-0.144014810018106,0.0723263500887038,0.000900792559206392,0.0860645062116929
"ACTA2","ILMN_1671703","2183","A_23_P150053","200974_at","200974_at","A_23_P150053","200974_at","200974_at","200974_at",0.252096660297661,-0.143563212347013,0.0621757379429351,0.000901951842133477,0.0860645062116929
"STK3","ILMN_1666453","15461","A_23_P215963","204068_at","204068_at","A_23_P215963","204068_at","204068_at","204068_at",0.252499230976389,-0.117849133951556,0.0742641606286094,0.000938462007977248,0.086319232308559
"COL5A1","ILMN_1706505","25963","A_23_P158593","203325_s_at","212488_at","A_23_P158593","203325_s_at","212488_at","212488_at",0.252604431192003,-0.147797788446301,0.0612178347671441,0.000952381851095208,0.086319232308559
"BAG3","ILMN_1659766","6802","A_23_P52552","217911_s_at","217911_s_at","A_23_P52552","217911_s_at","217911_s_at","217911_s_at",0.247905232485167,-0.114843652297758,0.0734187240154706,0.000956802575500985,0.086319232308559
"MPP2","ILMN_1654217","2444","A_23_P394259","213270_at","207984_s_at","A_23_P394259","213270_at","207984_s_at","207984_s_at",-0.245568228362398,0.113736032282079,-0.0839312479687131,0.0009570631771757,0.086319232308559
"DLK1","ILMN_1797519","1086","A_24_P236251","209560_s_at","209560_s_at","A_24_P236251","209560_s_at","209560_s_at","209560_s_at",-0.242842732519179,0.123799298646733,-0.066506674932317,0.000983580873928587,0.0875121145127813
"BCHE","ILMN_1685641","19978","A_23_P212050","205433_at","205433_at","A_23_P212050","205433_at","205433_at","205433_at",0.2632370079848,-0.122922537248738,0.092471298243782,0.00100076545618626,0.0877103567877749
"CEP55","ILMN_1747016","16803","A_23_P115872","218542_at","218542_at","A_23_P115872","218542_at","218542_at","218542_at",0.244987839159304,-0.123818986858965,0.0941846227498675,0.00101688813183151,0.0877103567877749
"LRRC23","ILMN_1753404","2802","A_23_P36689","206076_at","206076_at","A_23_P36689","206076_at","206076_at","206076_at",-0.238652162438297,0.14792951992554,-0.0620723105020686,0.00102783342240074,0.0877103567877749
"CNN3","ILMN_1782439","934","A_23_P138168","201445_at","201445_at","A_23_P138168","201445_at","201445_at","201445_at",0.240907232063383,-0.104844914570409,0.0816237722465802,0.00105169978507557,0.0877103567877749
"CTSK","ILMN_1758895","7375","A_23_P34744","202450_s_at","202450_s_at","A_23_P34744","202450_s_at","202450_s_at","202450_s_at",0.255403585786016,-0.145704859387724,0.069196909829365,0.00106814582806268,0.0877103567877749
"ACVR1","ILMN_1760490","24093","A_23_P79221","203935_at","203935_at","A_23_P79221","203935_at","203935_at","203935_at",0.245069993080301,-0.123987671360625,0.0740369144194226,0.00107341571992546,0.0877103567877749
"ARL4C","ILMN_1768391","8519","A_23_P317620","202207_at","202207_at","A_23_P317620","202207_at","202207_at","202207_at",0.241982210343442,-0.142311456078605,0.0611041480451912,0.00107906119377427,0.0877103567877749
"VTI1B","ILMN_1693136","11086","A_23_P14284","209452_s_at","209452_s_at","A_23_P14284","209452_s_at","209452_s_at","209452_s_at",0.242904185935982,-0.130318004351232,0.0668669226116488,0.00114339879674823,0.0918065570462239
"TIMP3","ILMN_1773664","906","A_23_P399078","201150_s_at","201150_s_at","A_23_P399078","201150_s_at","201150_s_at","201150_s_at",0.243447808144151,-0.130748441232282,0.0762669725647341,0.00115880952122258,0.0919229143099939
"PPP2R5D","ILMN_1699384","13479","A_24_P294931","202513_s_at","202513_s_at","A_24_P294931","202513_s_at","202513_s_at","202513_s_at",-0.242299919025307,0.110655198217843,-0.0921761957038582,0.00118571305039105,0.0929373181401748
"IL17RB","ILMN_1767523","24996","A_24_P157370","224156_x_at","219255_x_at","A_24_P157370","224156_x_at","219255_x_at","219255_x_at",-0.242229560569185,0.15662399784118,-0.0355433136794288,0.00123112641664042,0.0953616038489472
"RGS4","ILMN_1758067","16528","A_23_P200737","204337_at","204337_at","A_23_P200737","204337_at","204337_at","204337_at",0.250801109720074,-0.145189295492391,0.0636074751114584,0.00125141326188728,0.0958058711193701
"PRSS23","ILMN_1797776","9280","A_23_P87421","202458_at","202458_at","A_23_P150789","202458_at","202458_at","202458_at",0.24230862372083,-0.117421125074095,0.0755069951273972,0.00131007080792858,0.099143749418411
"ENPEP","ILMN_1675325","23108","A_23_P333605","204844_at","204844_at","A_23_P333605","204844_at","204844_at","204844_at",0.2515902110265,-0.125829843200666,0.0681920960275009,0.00135933695005736,0.101162199834864
"NAV2","ILMN_1675151","21196","A_23_P52727","218330_s_at","218330_s_at","A_23_P52727","218330_s_at","218330_s_at","218330_s_at",-0.239877468673645,0.117910678173126,-0.083313687294479,0.00136747202085402,0.101162199834864
"MAK","ILMN_1803984","28458","A_23_P214839","220302_at","220302_at","A_24_P363278","220302_at","220302_at","220302_at",-0.239950906639562,0.141858250753206,-0.0558783172799613,0.00143340134955961,0.104861272061116
"NAT2","ILMN_1670903","23101","A_23_P31798","206797_at","206797_at","A_23_P31798","206797_at","206797_at","206797_at",-0.232134292317699,0.110997509625914,-0.0818330896731559,0.00154940620777279,0.112102093098638
"MAN2A1","ILMN_1809402","24293","A_23_P18931","226538_at","205105_at","A_23_P18931","226538_at","205105_at","205105_at",0.233041251865287,-0.117598868916765,0.0730740639598999,0.00158317035129215,0.112120176558998
"EMC2","ILMN_1777366","23464","A_23_P60002","203584_at","203584_at","A_23_P60002","203584_at","203584_at","203584_at",0.236358219889922,-0.139824360739641,0.0435063044709005,0.00159183605929399,0.112120176558998
"GAL","ILMN_1682015","11859","A_23_P374844","214240_at","214240_at","A_23_P374844","214240_at","214240_at","214240_at",-0.233873300316447,0.141087812346741,-0.0755886153874937,0.00160074371150453,0.112120176558998
"PLEKHB1","ILMN_1783231","13090","A_24_P56073","209504_s_at","209504_s_at","A_23_P53211","209504_s_at","209504_s_at","209504_s_at",-0.231386756943952,0.128645939694379,-0.0759200635915285,0.00163010127947125,0.112381654496524
"MPP5","ILMN_1750689","19605","A_24_P347458","226092_at","219321_at","A_23_P99536","226092_at","219321_at","219321_at",0.23675490909548,-0.149811372184396,0.0529161655618805,0.00164447685809269,0.112381654496524
"STEAP3","ILMN_1746926","13631","A_24_P200000","218424_s_at","218424_s_at","A_23_P90601","218424_s_at","218424_s_at","218424_s_at",-0.235187329796136,0.105042539747529,-0.0997331907600504,0.00166319945221821,0.112381654496524
"OLFML2B","ILMN_1765557","19429","A_23_P137689","213125_at","213125_at","A_23_P137689","213125_at","213125_at","213125_at",0.245443051521355,-0.122320492504208,0.0813935424470042,0.00167275245149748,0.112381654496524
"RAB32","ILMN_1768771","9908","A_23_P42375","204214_s_at","204214_s_at","A_23_P42375","204214_s_at","204214_s_at","204214_s_at",0.230113435031546,-0.121414392652256,0.0784884143757699,0.00172000170002527,0.114388799928954
"PLG","ILMN_1714446","7985","A_24_P240487","209977_at","209977_at","A_24_P240487","209977_at","209977_at","209977_at",-0.227836847231943,0.126158336526222,-0.0899692028374103,0.0017841194353318,0.117182036778178
"NEIL1","ILMN_1812622","3036","A_23_P129157","219396_s_at","219396_s_at","A_23_P129157","219396_s_at","219396_s_at","219396_s_at",-0.225160442780218,0.12052582700611,-0.0868977248202671,0.00179759807329829,0.117182036778178
"AP2S1","ILMN_1809957","12863","A_24_P113295","211047_x_at","211047_x_at","A_24_P113295","211047_x_at","211047_x_at","211047_x_at",0.23119405622397,-0.1165828240499,0.0852164430784861,0.00182599527921565,0.11786620508192
"SOX15","ILMN_1784217","19127","A_23_P164011","206122_at","206122_at","A_23_P164011","206122_at","206122_at","206122_at",-0.226483257804508,0.0926860340920548,-0.0970053912949738,0.00197710718697296,0.125721441568602
"CYP17A1","ILMN_1760554","28729","A_24_P52597","205502_at","205502_at","A_24_P52597","205502_at","205502_at","205502_at",-0.223165680713826,0.120275889978715,-0.0805454954289914,0.00199613827870754,0.125721441568602
"CH25H","ILMN_1741021","12184","A_23_P86470","206932_at","206932_at","A_23_P86470","206932_at","206932_at","206932_at",0.261042073813719,-0.141569343194013,0.0699707329515028,0.00200497438710559,0.125721441568602
"PPM1A","ILMN_1690077","23632","A_23_P151679","203966_s_at","203966_s_at","A_23_P151679","203966_s_at","203966_s_at","203966_s_at",0.229209585539327,-0.124156048810598,0.0519968210503897,0.0020499197874626,0.126457758013184
"HR","ILMN_1657505","21509","A_23_P256131","220163_s_at","210086_at","A_23_P256131","220163_s_at","210086_at","210086_at",-0.227596714126342,0.111421067234288,-0.0876729193794051,0.00205739779865322,0.126457758013184
"TOP3A","ILMN_1700487","11043","A_23_P15829","204946_s_at","204946_s_at","A_23_P15829","204946_s_at","204946_s_at","204946_s_at",-0.228958643661695,0.123698961936981,-0.0678641648905621,0.00207433746437179,0.126457758013184
"WWOX","ILMN_1730570","16852","A_23_P206413","219077_s_at","219077_s_at","A_23_P83368","219077_s_at","219077_s_at","219077_s_at",-0.232862816351779,0.107647245308372,-0.0888108131639725,0.00210044532393097,0.126874605621665
"SPAG8","ILMN_1754370","7798","A_24_P412036","206816_s_at","206816_s_at","A_24_P412036","206816_s_at","206816_s_at","206816_s_at",-0.228229219010497,0.138241988004162,-0.0727130164349845,0.00217272189420836,0.13004728137698
"DOCK6","ILMN_1801226","21212","A_23_P67299","55583_at","221794_at","A_23_P67299","55583_at","221794_at","221794_at",-0.226424177882593,0.097851807462081,-0.0712732310953633,0.00224521281784841,0.132508405695752
