"Genes","E.MTAB.386_eset","GSE13876_eset","GSE17260_eset","GSE18520_eset","GSE26712_eset","GSE9891_eset","PMID17290060_eset","TCGA_eset","GSE32062.GPL6480_eset","Pooled.Cox.Coefficient","P","FDR"
"PRF1","ILMN_1740633","10167","A_23_P1473","214617_at","214617_at","214617_at","214617_at","214617_at","A_23_P1473",-0.126393372400022,0.00175236413251803,0.0708657079633759
"YWHAB","ILMN_1694385","37383","A_23_P120414","217718_s_at","217718_s_at","217718_s_at","217718_s_at","217718_s_at","A_23_P500251",0.134849403814055,0.00175337834136188,0.0708657079633759
"SPOCK1","ILMN_1746013","21585","A_24_P354689","202363_at","202363_at","202363_at","202363_at","202363_at","A_24_P354689",0.112736254052174,0.00178665498548956,0.0718364906082848
"FSTL3","ILMN_1730670","16504","A_23_P209167","203592_s_at","203592_s_at","203592_s_at","203592_s_at","203592_s_at","A_23_P209167",0.124780680654428,0.00188530982666886,0.0754123930667545
"MAD2L1BP","ILMN_1798454","2583","A_24_P43588","203094_at","203094_at","203094_at","203094_at","203094_at","A_24_P43588",-0.121644727608052,0.00191450896174854,0.0761876386829162
"SLC41A3","ILMN_1739885","13486","A_23_P18317","224931_at","219175_s_at","224931_at","219175_s_at","219175_s_at","A_23_P18317",0.120280277641427,0.00194945400769038,0.0771824647942723
"AFG3L2","ILMN_1686357","14471","A_23_P135454","1557820_at","202486_at","1557820_at","202486_at","202486_at","A_23_P135454",-0.123252918529053,0.00199782573068603,0.0784254742870772
"TCFL5","ILMN_1814247","36945","A_23_P143147","204849_at","204849_at","204849_at","204849_at","204849_at","A_23_P143147",0.123511454388663,0.00200836334849527,0.0784254742870772
"RAI14","ILMN_1682139","30593","A_23_P92727","202052_s_at","202052_s_at","202052_s_at","202052_s_at","202052_s_at","A_23_P92727",0.122714790080521,0.00201888063425937,0.0784254742870772
"SLC7A1","ILMN_1683859","36408","A_24_P253251","212295_s_at","212295_s_at","212295_s_at","212295_s_at","212295_s_at","A_24_P253251",0.120684291718216,0.00203112095109419,0.0784254742870772
