"Genes","E.MTAB.386_eset","GSE13876_eset","GSE17260_eset","GSE18520_eset","GSE26712_eset","GSE9891_eset","PMID17290060_eset","TCGA_eset","GSE32062.GPL6480_eset","Pooled.Cox.Coefficient","P","FDR"
"ADNP","ILMN_1666019","4016","A_23_P254179","201773_at","201773_at","201773_at","201773_at","201773_at","A_23_P254179",0.135617325482221,0.000969885292789311,0.0488721420262666
"NKG7","ILMN_1682993","30692","A_23_P119042","213915_at","213915_at","213915_at","213915_at","213915_at","A_23_P119042",-0.133818251668096,0.000996945532550423,0.0499115956941373
"PPEF1","ILMN_1652017","24369","A_23_P125505","206547_s_at","206547_s_at","206547_s_at","206547_s_at","206547_s_at","A_23_P125505",0.125490770097194,0.00101692999896628,0.0505857486665278
"B4GALT5","ILMN_1653749","8292","A_24_P239731","221485_at","221484_at","221485_at","221484_at","221484_at","A_24_P365469",0.132382422834429,0.00106751531913157,0.0527638144997513
"FBXO9","ILMN_1717063","3288","A_32_P115535","212987_at","210638_s_at","212987_at","210638_s_at","210638_s_at","A_23_P254111",-0.128586037102073,0.00109948101544469,0.0539998270876633
"OAT","ILMN_1654441","35310","A_23_P98092","201599_at","201599_at","201599_at","201599_at","201599_at","A_23_P98092",0.130401024837005,0.00111559644376688,0.0541539029466064
"CDK8","ILMN_1777913","12826","A_23_P139958","204831_at","204831_at","204831_at","204831_at","204831_at","A_23_P139958",0.123977377584519,0.00111657531848673,0.0541539029466064
"SLC37A4","ILMN_1678678","6603","A_23_P35970","202830_s_at","202830_s_at","202830_s_at","202830_s_at","202830_s_at","A_23_P35970",-0.125619870028428,0.00113364286154245,0.054640177674344
"MAK","ILMN_1803984","22880","A_23_P214839","220302_at","220302_at","220302_at","220302_at","220302_at","A_24_P363278",-0.133293742000238,0.00118205483252277,0.0566218858047942
"ARHGAP19","ILMN_1688953","6086","A_23_P1387","212738_at","212738_at","212738_at","212738_at","212738_at","A_23_P1387",0.127218701619062,0.00122193541058084,0.0580890219337493
"FABP4","ILMN_1773006","15486","A_23_P8820","203980_at","203980_at","203980_at","203980_at","203980_at","A_23_P8820",0.127737789914028,0.00122765458725965,0.0580890219337493
"GPATCH1","ILMN_1655625","4913","A_23_P27822","219818_s_at","219818_s_at","219818_s_at","219818_s_at","219818_s_at","A_23_P27822",0.123607930476811,0.0012540372113914,0.0589777500630135
"RPS6KC1","ILMN_1661000","8158","A_23_P104109","218909_at","218909_at","218909_at","218909_at","218909_at","A_23_P104109",0.124936490878782,0.00128399380604972,0.0600228429816015
"EHD2","ILMN_1808777","32943","A_24_P156113","221870_at","221870_at","221870_at","221870_at","221870_at","A_24_P156113",0.129825826598165,0.00130119513170724,0.0604627198925041
"KEAP1","ILMN_1775920","30629","A_23_P119141","202417_at","202417_at","202417_at","202417_at","202417_at","A_23_P119141",-0.131298168587278,0.00131683415782501,0.0606344181343015
"MAD2L1BP","ILMN_1798454","2583","A_24_P43588","203094_at","203094_at","203094_at","203094_at","203094_at","A_24_P43588",-0.127516539710614,0.00132051761143002,0.0606344181343015
"CLIP3","ILMN_1789733","19715","A_24_P279718","212358_at","212358_at","212358_at","212358_at","212358_at","A_23_P50786",0.125398132004346,0.0013800602312573,0.0625149644002752
"RARRES3","ILMN_1701613","1068","A_23_P1962","204070_at","204070_at","204070_at","204070_at","204070_at","A_23_P1962",-0.124633493561299,0.00138552700368918,0.0625149644002752
"TEAD1","ILMN_1735055","8870","A_23_P362893","224955_at","214600_at","224955_at","214600_at","214600_at","A_23_P362893",0.127087845613881,0.00138900160086233,0.0625149644002752
"BAG1","ILMN_1733970","34629","A_23_P146654","202387_at","211475_s_at","202387_at","211475_s_at","211475_s_at","A_23_P146654",-0.129287306878741,0.00139778418107687,0.0625149644002752
"MEOX2","ILMN_1777263","24427","A_24_P106624","206201_s_at","206201_s_at","206201_s_at","206201_s_at","206201_s_at","A_24_P106624",0.114472706577887,0.00140175306773813,0.0625149644002752
"HLA.DQB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.123565684431239,0.00141138189806716,0.0625847058800066
"ZNF672","ILMN_1669094","17063","A_23_P83923","218068_s_at","218068_s_at","218068_s_at","218068_s_at","218068_s_at","A_23_P83923",-0.126784051207296,0.00142548036592997,0.0628507252250939
"KRT4","ILMN_1744765","3278","A_23_P2674","213240_s_at","213240_s_at","213240_s_at","213240_s_at","213240_s_at","A_23_P2674",0.118598336361288,0.001435164374979,0.0629202008465367
