"Genes","E.MTAB.386_eset","GSE13876_eset","GSE17260_eset","GSE18520_eset","GSE26712_eset","GSE9891_eset","PMID17290060_eset","TCGA_eset","GSE32062.GPL6480_eset","Pooled.Cox.Coefficient","P","FDR"
"CTNNBL1","ILMN_1728627","23799","A_23_P68401","221021_s_at","221021_s_at","221021_s_at","221021_s_at","221021_s_at","A_23_P68401",0.14908688313397,0.000211673907280186,0.0263170375523908
"RHOT1","ILMN_1678504","22196","A_24_P59765","222148_s_at","222148_s_at","222148_s_at","222148_s_at","222148_s_at","A_24_P59765",0.149796363538325,0.000213656361572245,0.0263170375523908
"APOD","ILMN_1780170","22563","A_23_P136777","201525_at","201525_at","201525_at","201525_at","201525_at","A_23_P136777",0.139829383149053,0.000220201233798711,0.0263308215399502
"ST6GAL1","ILMN_1756501","13374","A_24_P388528","201998_at","201998_at","201998_at","201998_at","201998_at","A_24_P388528",-0.141154170406894,0.000220554561868139,0.0263308215399502
"HIST1H2BJ","ILMN_1658702","19831","A_24_P55148","214502_at","214502_at","214502_at","214502_at","214502_at","A_24_P55148",-0.149424134515843,0.00022489440341981,0.0264421298566323
"SPDEF","ILMN_1691837","2579","A_23_P111194","213441_x_at","220192_x_at","213441_x_at","220192_x_at","220192_x_at","A_23_P111194",-0.148103653043389,0.000239716532135349,0.0275846944206603
"CILP","ILMN_1723847","14448","A_23_P151895","206227_at","206227_at","206227_at","206227_at","206227_at","A_23_P151895",0.141094692896026,0.000251789467106569,0.0275846944206603
"IGFBP6","ILMN_1669362","18595","A_23_P139912","203851_at","203851_at","203851_at","203851_at","203851_at","A_23_P139912",0.142431098330375,0.000253877836271378,0.0275846944206603
"PSMC4","ILMN_1687887","13338","A_24_P91310","201252_at","201252_at","201252_at","201252_at","201252_at","A_24_P91310",0.143037192364455,0.000255594472819926,0.0275846944206603
"FBL","ILMN_1719205","19714","A_23_P78888","211623_s_at","211623_s_at","211623_s_at","211623_s_at","211623_s_at","A_23_P78888",0.150100957309136,0.000256084662733186,0.0275846944206603
"PALLD","ILMN_1698732","12790","A_23_P213102","200897_s_at","200897_s_at","200897_s_at","200897_s_at","200897_s_at","A_23_P213102",0.144321185754796,0.000257258190295671,0.0275846944206603
"TIMP3","ILMN_1773664","35369","A_23_P399078","201150_s_at","201150_s_at","201150_s_at","201150_s_at","201150_s_at","A_23_P399078",0.142305918430763,0.000260879165482205,0.0275846944206603
"PTPN1","ILMN_1681591","19630","A_23_P338890","202716_at","202716_at","202716_at","202716_at","202716_at","A_23_P338890",0.143220307629892,0.00026304992102176,0.0275846944206603
"KRT23","ILMN_1791545","33845","A_23_P78248","218963_s_at","218963_s_at","218963_s_at","218963_s_at","218963_s_at","A_23_P78248",-0.143643097563499,0.000267576359731973,0.0276852340202682
"ALDH5A1","ILMN_1715859","25348","A_24_P923353","203608_at","203608_at","203608_at","203608_at","203608_at","A_24_P115007",-0.141721418545703,0.000272111064774534,0.0277839718769787
"CXCL11","ILMN_1719597","22536","A_24_P20607","211122_s_at","211122_s_at","211122_s_at","211122_s_at","211122_s_at","A_23_P125278",-0.155210154650572,0.000287757295020424,0.0289999559656946
"FXYD1","ILMN_1683176","11992","A_23_P108216","205384_at","205384_at","205384_at","205384_at","205384_at","A_23_P108216",0.139696892544991,0.000297352133915775,0.0295827251177745
"LTA4H","ILMN_1690342","20643","A_23_P388670","208771_s_at","208771_s_at","208771_s_at","208771_s_at","208771_s_at","A_23_P388670",0.143810941748046,0.000308250048400766,0.0299065506476327
"BMI1","ILMN_1700915","13901","A_24_P303989","202265_at","202265_at","202265_at","202265_at","202265_at","A_23_P314115",0.149081067822037,0.000308314955130234,0.0299065506476327
"RB1","ILMN_1696591","34839","A_24_P102636","203132_at","203132_at","203132_at","203132_at","203132_at","A_23_P204850",0.14687847010896,0.000323956338249098,0.0304943064959399
"PIR","ILMN_1761247","6483","A_23_P137035","207469_s_at","207469_s_at","207469_s_at","207469_s_at","207469_s_at","A_23_P137035",-0.148630888940465,0.000323957081739317,0.0304943064959399
"CHD1","ILMN_1654583","14545","A_23_P70201","204258_at","204258_at","204258_at","204258_at","204258_at","A_23_P70201",0.142954278599547,0.000326163329789047,0.0304943064959399
"PDE1A","ILMN_1778924","18193","A_23_P79272","208396_s_at","208396_s_at","208396_s_at","208396_s_at","208396_s_at","A_23_P79272",0.13288575611646,0.000340626004524889,0.0314623727618073
"APBB2","ILMN_1716790","33338","A_24_P234701","212985_at","212970_at","212985_at","212970_at","212970_at","A_23_P10701",0.137606772113908,0.00034462650576722,0.0314623727618073
"GSTZ1","ILMN_1711642","25181","A_23_P106204","209531_at","209531_at","209531_at","209531_at","209531_at","A_23_P106204",-0.139945544643872,0.000353566144480859,0.0319031776880403
"COL8A1","ILMN_1685433","23900","A_23_P211762","226237_at","214587_at","226237_at","214587_at","214587_at","A_23_P69030",0.136980733116237,0.000373629202444804,0.0328268838218236
"AQP5","ILMN_1807036","18501","A_23_P366812","213611_at","213611_at","213611_at","213611_at","213611_at","A_23_P117104",-0.144951955483875,0.000378495858411928,0.0328268838218236
"RASA1","ILMN_1725312","13705","A_23_P18939","202677_at","202677_at","202677_at","202677_at","202677_at","A_23_P18939",0.14035471378536,0.000380274736402992,0.0328268838218236
"SEMA4F","ILMN_1805007","26967","A_32_P195065","210124_x_at","210124_x_at","210124_x_at","210124_x_at","210124_x_at","A_23_P165608",0.138705122569765,0.000380724168036614,0.0328268838218236
"NCOA3","ILMN_1708805","23746","A_23_P313568","209061_at","207700_s_at","209061_at","207700_s_at","207700_s_at","A_23_P313560",0.141563420865639,0.000398915893012144,0.0337385413963332
"CUX1","ILMN_1744659","8314","A_24_P691604","214743_at","214743_at","214743_at","214743_at","214743_at","A_23_P253375",0.145552519722314,0.000399993016554466,0.0337385413963332
"RECQL","ILMN_1692705","26858","A_23_P25215","212918_at","212918_at","212918_at","212918_at","212918_at","A_23_P25215",0.1353437308753,0.000408746592328666,0.0341061672738758
"SNAI2","ILMN_1655740","9427","A_23_P169039","213139_at","213139_at","213139_at","213139_at","213139_at","A_23_P169039",0.139215784214232,0.00045545636098481,0.0374855049910708
"RARB","ILMN_1699723","9459","A_24_P3249","205080_at","205080_at","205080_at","205080_at","205080_at","A_24_P3249",0.138875180930853,0.000463429834207309,0.0374855049910708
"CD38","ILMN_1754039","19018","A_23_P167328","205692_s_at","205692_s_at","205692_s_at","205692_s_at","205692_s_at","A_23_P167328",-0.142694962279636,0.000463738206075102,0.0374855049910708
"COL11A1","ILMN_1789507","14142","A_23_P11806","37892_at","204320_at","37892_at","204320_at","204320_at","A_23_P11806",0.136046796109782,0.000478349128754563,0.038267930300365
"BCHE","ILMN_1685641","155","A_23_P212050","205433_at","205433_at","205433_at","205433_at","205433_at","A_23_P212050",0.127559246547094,0.000492620443023577,0.0385747800381109
"DSE","ILMN_1706498","13954","A_23_P19226","218854_at","218854_at","218854_at","218854_at","218854_at","A_23_P19226",0.143526893786013,0.000502210385630603,0.0385747800381109
"PDS5B","ILMN_1746696","32205","A_23_P205098","207956_x_at","207956_x_at","207956_x_at","207956_x_at","207956_x_at","A_23_P48387",0.138803696006801,0.000504274418355937,0.0385747800381109
"SYT11","ILMN_1789954","17530","A_23_P12018","209197_at","209197_at","209197_at","209197_at","209197_at","A_24_P248240",0.136161219994771,0.00050473285501919,0.0385747800381109
"SNTB2","ILMN_1654156","20178","A_23_P33444","226685_at","205315_s_at","226685_at","205315_s_at","205315_s_at","A_23_P33444",0.139939101763711,0.00050703963452156,0.0385747800381109
"TNFAIP6","ILMN_1785732","5686","A_23_P165624","206025_s_at","206026_s_at","206025_s_at","206026_s_at","206026_s_at","A_23_P165624",0.138953858143452,0.000517611632352654,0.0389967598743359
"LMO7","ILMN_1770479","4228","A_23_P205159","242722_at","202674_s_at","242722_at","202674_s_at","202674_s_at","A_24_P301146",0.136714034435677,0.000540899764196693,0.0403594439439071
"TUFT1","ILMN_1781374","23100","A_23_P371824","205807_s_at","205807_s_at","205807_s_at","205807_s_at","205807_s_at","A_23_P371824",0.138496192532667,0.000554300044319866,0.0409654127992587
"GRHPR","ILMN_1664798","30874","A_24_P141275","201347_x_at","201347_x_at","201347_x_at","201347_x_at","201347_x_at","A_24_P141275",-0.135435344430873,0.00057170246741938,0.0411917021979442
"CCDC41","ILMN_1799113","27290","A_23_P162378","219644_at","219644_at","219644_at","219644_at","219644_at","A_23_P162378",0.132357293412755,0.000574790884275692,0.0411917021979442
"COL5A2","ILMN_1729117","11720","A_32_P218734","221729_at","221729_at","221729_at","221729_at","221729_at","A_23_P33196",0.137011494096651,0.000582255751354491,0.0411917021979442
"CNN1","ILMN_1810054","22988","A_23_P125233","203951_at","203951_at","203951_at","203951_at","203951_at","A_23_P125233",0.134154370195669,0.000582731665764365,0.0411917021979442
"GFPT2","ILMN_1655236","4972","A_23_P144916","205100_at","205100_at","205100_at","205100_at","205100_at","A_23_P144916",0.139079742360052,0.000584181903454435,0.0411917021979442
"HLA.DOA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.136958987957762,0.000591519020310312,0.0411917021979442
"PTPRCAP","ILMN_1672417","37625","A_23_P98173","204960_at","204960_at","204960_at","204960_at","204960_at","A_23_P98173",-0.135406216513592,0.00059938283724211,0.0411917021979442
"GGNBP2","ILMN_1725620","25873","A_24_P67976","218079_s_at","218079_s_at","218079_s_at","218079_s_at","218079_s_at","A_24_P67976",0.142436223542776,0.000604126211650428,0.0411917021979442
"MAN1B1","ILMN_1771957","24985","A_23_P94857","218636_s_at","218636_s_at","218636_s_at","218636_s_at","218636_s_at","A_23_P94857",-0.141579831224226,0.000611020784512638,0.0411917021979442
"SAMD4A","ILMN_1690466","21972","A_24_P383523","212845_at","212845_at","212845_at","212845_at","212845_at","A_24_P383523",0.135303055957665,0.000614070185686653,0.0411917021979442
"TRIL","ILMN_1778755","9165","A_23_P122959","205151_s_at","205151_s_at","205151_s_at","205151_s_at","205151_s_at","A_24_P183664",0.129921722830664,0.000615752249350713,0.0411917021979442
"PACSIN3","ILMN_1682957","14636","A_24_P381136","218744_s_at","218744_s_at","218744_s_at","218744_s_at","218744_s_at","A_24_P381136",-0.138664223643308,0.000632259787785983,0.0419082568457743
"KIF20B","ILMN_1712452","12087","A_23_P75071","205235_s_at","205235_s_at","205235_s_at","205235_s_at","205235_s_at","A_23_P75071",0.125323653753449,0.000646348927667815,0.0419082568457743
"TMEM134","ILMN_1770977","9893","A_23_P161522","218531_at","218531_at","218531_at","218531_at","218531_at","A_23_P161522",-0.135160413036669,0.000648081332605593,0.0419082568457743
