"","E.MTAB.386_eset","GSE12418_eset","GSE17260_eset","GSE26712_eset","GSE32062.GPL6480_eset","GSE9891_eset","PMID17290060_eset","TCGA_eset","Weighted.Mean","FDR"
"LGMN",1.01767891188055,1.04430236511122,-1.01823273525686,1.07982514804803,1.08257110748686,1.04770253397574,1.1092649124822,1.22293120361299,1.08534615475693,0.217376694966834
"CUL7",-1.03873117289454,-1.05494059676714,-1.04729757578327,-1.04645354851188,-1.0623278909288,-1.18306102570507,-1.01933782859729,-1.15593144996725,-1.08521258683241,0.125265197402042
"SRPK2",1.04784288547966,1.1045196120913,1.22490500639187,-1.04449163440673,1.22133723153504,1.04437940133261,1.06256383185568,1.08500221878913,1.08516838513335,0.217376694966834
"SPG7",1.00567142921989,-1.1307750790492,-1.36422442777714,-1.06631819890297,-1.03339084660058,1.06614549861016,1.03134419433515,-1.17204211125286,-1.08515684346459,0.129678415710354
"ZNHIT3",-1.10555254682153,-1.24307157176795,-1.17016467098337,1.07721191457781,-1.08480119527666,-1.18118248952067,-1.06055257794432,-1.03881560990298,-1.0843976750929,0.223986431757889
"TTLL12",-1.01093586895937,1.13236276136874,-1.25148545282736,-1.05527302362609,-1.44778562946728,-1.06957796332109,-1.00106030689388,-1.03177175987527,-1.08436977699615,0.223986431757889
"TRIM8",-1.03998583639384,1.08425898464759,1.14664972500467,1.10381452756425,1.08087647299646,1.09954968872326,1.07162897806951,1.11016995849345,1.0842170944756,0.178425356041516
"APRT",-1.10669043954194,-1.04701426810862,-1.17541371516642,-1.0480879872436,-1.1283633871196,1.03196269154438,1.01654192436246,-1.15499642963275,-1.08419288412663,0.230855091330876
"GRB14",-1.05011894407802,1.05689537627246,-1.27685070785143,-1.03503972888509,-1.24555458566832,1.02014212599565,1.00251268894806,-1.11776101421649,-1.08337891217806,0.223986431757889
"SOX3",-1.16462102061971,1.02139518605291,-1.15356117632527,1.00615434448582,-1.16374883578409,-1.03444682875012,-1.04465582147107,-1.1096707495117,-1.08269532581578,0.217376694966834
"KIAA0240",1.00967020402281,-1.03816639421985,-1.10298338200289,-1.03859208628202,-1.03903788595223,-1.14529146269471,-1.23770943579853,-1.10345577933564,-1.08198823350591,0.217376694966834
"CACNA1F",-1.02081387619268,-1.09066703624515,-1.11716805631112,-1.05209344992633,-1.2157177453951,-1.08145643976209,-1.07451414646082,-1.04359006897531,-1.07991081155752,0.22799305110269
"ACTR1A",-1.01993079921877,1.01645698093652,1.15002149444737,1.08110225150894,1.08957046649795,1.05147392414214,1.08688182182812,1.13569512612552,1.07946455238073,0.228040957203684
"FSD1",-1.01472111826528,-1.00540232683509,-1.14070999360516,-1.08941200703535,-1.25829697974474,-1.12756414150482,1.09882073312557,-1.0632035109713,-1.07890036367707,0.0836995575809362
"TM9SF3",1.05329048554998,-1.10867171811824,1.19341351203234,1.08399325215154,1.10733170075427,1.10999161814144,1.01931184251995,1.09975503327792,1.07862369940389,0.216402818325509
"PPOX",-1.13434077141584,1.0454120865278,-1.07490017437909,1.04592992655807,-1.10314970557723,-1.09270660627988,-1.01259606322879,-1.19754603855463,-1.07846102228018,0.178425356041516
"KIAA0196",1.11231385854296,1.25240520040001,1.08602593862774,1.01444782444198,1.00073840716713,1.09637832202201,-1.05493249725675,1.11904081487915,1.07794742502984,0.17499660453773
"ZNF652",-1.10508260762931,1.12382691098777,-1.10510499163801,-1.04338962680222,1.13424543018742,-1.09816879906119,-1.06194604842368,-1.27360522863288,-1.07699825049385,0.178425356041516
"MPP5",1.01481594590926,1.10618056656398,1.14385471059397,1.05992106053525,1.17173012261806,1.11692597437551,-1.06176165926687,1.06045882655812,1.07629488233285,0.217376694966834
"ATP6V1C1",1.0372061850026,-1.13530691938498,1.07642814686621,1.24101484983036,-1.02466077880574,1.10402959731539,-1.10110448897014,1.19734762827347,1.07610599991837,0.223986431757889
"CREM",1.03797835662295,-1.03595968366178,1.1599725353841,1.07928844326304,1.05833374525604,1.13903894755525,1.06275054788518,1.0756155844437,1.07532048721385,0.178425356041516
"MAN2A1",1.06110843487069,-1.24798087899843,1.04758414422427,1.05212354540006,1.00839180165476,1.21488272105536,-1.00623040908397,1.23899281442148,1.07453983506922,0.229197758837106
"AZIN1",1.00535301812775,1.15237172434604,1.15303959190595,1.13200399807571,1.01162490839751,1.17618150856547,-1.13994972753884,1.06843951176665,1.07430168191466,0.223986431757889
"HSPA14",1.06593231350758,-1.05344531317531,1.24193465481068,-1.03369596520373,1.03207197683375,1.0972617190014,1.12533583969687,1.1156686901702,1.07423934355243,0.217376694966834
"UCN",-1.07072715777557,-1.03789303246358,-1.26383022249132,-1.03018695745033,-1.079467977503,-1.07134060574188,1.08141020005143,-1.08423688799643,-1.07299296811705,0.17804678501428
"CUL9",-1.10755368543597,-1.01084797683106,-1.01356415765653,-1.04258698948316,-1.10867723781554,-1.13758934648165,1.12403948364049,-1.15248910618522,-1.07217972880757,0.178425356041516
"KIAA0753",-1.0769563958994,1.0829187130542,1.00012051797227,-1.10217397779276,1.03586672176321,-1.18654728246747,-1.01766754994099,-1.17398659001266,-1.07204876358433,0.0632319312491917
"ACD",-1.04408455765718,-1.14904974205273,-1.23771618147281,-1.0158800400068,-1.17832351681298,1.03577143666846,1.18959249536036,-1.12351310250486,-1.07107547761782,0.216402818325509
