"Genes","E.MTAB.386_eset","GSE12418_eset","GSE17260_eset","GSE18520_eset","GSE26712_eset","GSE32062.GPL6480_eset","GSE9891_eset","PMID17290060_eset","TCGA_eset","Pooled.LogIt.Coefficient","Mean.Optimal","Mean.Suboptimal","P","FDR"
"GHITM","ILMN_1728467","22307","A_23_P104387","209248_at","209249_s_at","A_23_P104387","209248_at","209249_s_at","209249_s_at",0.25928423334777,-0.0901498443080964,0.136786253372793,0.000221371111252961,0.0747146521415771
"CRABP2","ILMN_1690170","10349","A_23_P115064","202575_at","202575_at","A_23_P115064","202575_at","202575_at","202575_at",0.252419236429221,-0.0924894465298237,0.140336180993288,0.000233156190199715,0.0747146521415771
"DNASE1L2","ILMN_1801366","27259","A_23_P3643","207192_at","207192_at","A_23_P3643","207192_at","207192_at","207192_at",-0.248072479739629,0.0890442134878574,-0.135108656493124,0.000242478448929437,0.0747146521415771
"HOXB8","ILMN_1798496","202","A_23_P370588","229667_s_at","221278_at","A_23_P370588","229667_s_at","221278_at","221278_at",-0.256375114634144,0.0922302734254858,-0.139942932195252,0.000254957320250577,0.0747146521415771
"NOL3","ILMN_1813925","10792","A_23_P206371","221567_at","221567_at","A_23_P206371","221567_at","221567_at","221567_at",-0.249242774904813,0.093111541415948,-0.141280098638055,0.00028393781733696,0.0747146521415771
"SEMA6B","ILMN_1712914","13462","A_23_P208900","220778_x_at","220778_x_at","A_23_P208900","220778_x_at","220778_x_at","220778_x_at",-0.258063377168013,0.0903818417265664,-0.137138267931534,0.000287694027285032,0.0747146521415771
"TAC3","ILMN_1784889","19962","A_23_P2283","219992_at","219992_at","A_23_P2283","219992_at","219992_at","219992_at",-0.255376077826205,0.0870406528250926,-0.132068611792348,0.000291973622640805,0.0747146521415771
"C9orf3","ILMN_1674629","4584","A_24_P89887","212848_s_at","212848_s_at","A_23_P73012","212848_s_at","212848_s_at","212848_s_at",0.242488726417038,-0.0892484127591396,0.135418492338926,0.000294119119884104,0.0747146521415771
"ADD2","ILMN_1694133","13404","A_23_P209856","206807_s_at","206807_s_at","A_32_P86533","206807_s_at","206807_s_at","206807_s_at",-0.247211033654291,0.0875531640835174,-0.132846255895778,0.000298294632806961,0.0747146521415771
"COLEC11","ILMN_1735192","29913","A_24_P388322","219873_at","219873_at","A_23_P120125","219873_at","219873_at","219873_at",-0.246324714616119,0.0888088730662162,-0.134751569525414,0.000300210311935798,0.0747146521415771
"CHST10","ILMN_1736828","17848","A_23_P102351","204065_at","204065_at","A_23_P102351","204065_at","204065_at","204065_at",-0.240529523145012,0.0865286179773981,-0.13129169055693,0.000306393622087269,0.0747146521415771
"ACVR1","ILMN_1760490","24093","A_23_P79221","203935_at","203935_at","A_23_P79221","203935_at","203935_at","203935_at",0.23928351308271,-0.0865995519421764,0.131399320152447,0.000335183336771633,0.0788159674751583
"MRPS7","ILMN_1813389","22977","A_23_P3979","217932_at","217932_at","A_23_P3979","217932_at","217932_at","217932_at",0.240414605613736,-0.0866636992270309,0.131496652175887,0.0003500344417983,0.0794698884413796
"TMEM53","ILMN_1688041","13068","A_23_P85853","219462_at","219462_at","A_23_P85853","219462_at","219462_at","219462_at",-0.241347224715729,0.0882933529057678,-0.133969359951707,0.000384442868905646,0.0816866170974203
"BAIAP3","ILMN_1810550","7202","A_23_P163492","216356_x_at","216356_x_at","A_23_P163492","216356_x_at","216356_x_at","216356_x_at",-0.240766750374157,0.0858865892852343,-0.130317526929329,0.000398864476829529,0.0816866170974203
"KIAA0753","ILMN_1680010","3035","A_23_P89543","204711_at","204711_at","A_23_P89543","204711_at","204711_at","204711_at",-0.238513022978244,0.0863563857448436,-0.131030358970812,0.000423832669256543,0.0816866170974203
"AP2S1","ILMN_1809957","12863","A_24_P113295","211047_x_at","211047_x_at","A_24_P113295","211047_x_at","211047_x_at","211047_x_at",0.241765716507902,-0.0885144362543978,0.134304814362907,0.000426020933405857,0.0816866170974203
"NEK11","ILMN_1788149","15456","A_23_P211973","219542_at","219542_at","A_23_P155301","219542_at","219542_at","219542_at",-0.233715687751948,0.0851333901088236,-0.129174681989601,0.000428015710958254,0.0816866170974203
"KIAA0196","ILMN_1728676","1833","A_23_P112113","201985_at","201985_at","A_23_P112113","201985_at","201985_at","201985_at",0.230691677283163,-0.0843262219139982,0.127949948724011,0.000436169894868243,0.0816866170974203
"B4GALNT1","ILMN_1805725","12329","A_23_P87461","206435_at","206435_at","A_23_P87461","206435_at","206435_at","206435_at",-0.24882770869844,0.0831626750827216,-0.126184474663621,0.000453055900663179,0.0816866170974203
"ASPN","ILMN_1801583","9342","A_23_P216429","219087_at","219087_at","A_23_P216429","219087_at","219087_at","219087_at",0.228292560918257,-0.0832763653783101,0.126356979338452,0.000464293251932025,0.0816866170974203
"TTLL12","ILMN_1663113","16749","A_23_P143748","1552257_a_at","216251_s_at","A_23_P143748","1552257_a_at","216251_s_at","216251_s_at",-0.230444395418926,0.0834977449684992,-0.126692883243197,0.000474748523739758,0.0816866170974203
"SERPINA10","ILMN_1793628","9726","A_23_P128759","220626_at","220626_at","A_23_P128759","220626_at","220626_at","220626_at",-0.249557302475454,0.0847665775814593,-0.128618109632839,0.000483866656561268,0.0816866170974203
"TNFAIP6","ILMN_1785732","16785","A_23_P165624","206025_s_at","206026_s_at","A_23_P165624","206025_s_at","206026_s_at","206026_s_at",0.229974759069389,-0.0833349269476524,0.126445836038355,0.000508722949199226,0.0837357974381925
